system,image,source,split,capacity,capacity_correct,corner_error,expected_occupied,flavor_correct,false_empty,count_error,exact_counts
candidate_v3,IMG_2020_size6_render02.jpg,IMG_2020.jpg,train,6,True,0.04411879645453559,6,4,0,4,False
candidate_v3,IMG_2021_size6_render00.jpg,IMG_2021.jpg,train,6,True,0.00746340827336387,6,6,0,0,True
candidate_v3,IMG_2021_size6_render01.jpg,IMG_2021.jpg,train,6,True,0.00691443852015904,6,6,0,0,True
candidate_v3,IMG_2021_size6_render02.jpg,IMG_2021.jpg,train,6,True,0.008501104324583023,6,6,0,0,True
candidate_v3,IMG_2022_size16_render00.jpg,IMG_2022.jpg,train,16,True,0.021136364104255796,16,16,0,0,True
candidate_v3,IMG_2022_size16_render01.jpg,IMG_2022.jpg,train,16,True,0.02365419145614382,16,16,0,0,True
candidate_v3,IMG_2022_size16_render02.jpg,IMG_2022.jpg,train,16,True,0.031110836210704984,16,12,0,8,False
candidate_v3,IMG_2023_size16_render00.jpg,IMG_2023.jpg,train,16,True,0.014778512621682787,16,16,0,0,True
candidate_v3,IMG_2023_size16_render01.jpg,IMG_2023.jpg,train,16,True,0.019386588202582464,16,14,0,2,False
candidate_v3,IMG_2023_size16_render02.jpg,IMG_2023.jpg,train,16,True,0.02616130889408172,16,13,0,4,False
candidate_v3,IMG_2024_size16_render00.jpg,IMG_2024.jpg,train,16,True,0.014751490335615854,16,16,0,0,True
candidate_v3,IMG_2024_size16_render01.jpg,IMG_2024.jpg,train,16,True,0.011101858956473214,16,16,0,0,True
candidate_v3,IMG_2024_size16_render02.jpg,IMG_2024.jpg,train,16,True,0.01125226929074242,16,16,0,0,True
candidate_v3,IMG_2025_size16_render00.jpg,IMG_2025.jpg,train,16,True,0.036791029430571054,16,16,0,0,True
candidate_v3,IMG_2025_size16_render01.jpg,IMG_2025.jpg,train,16,True,0.02350504133436415,16,16,0,0,True
candidate_v3,IMG_2025_size16_render02.jpg,IMG_2025.jpg,train,16,True,0.029423456343393477,16,16,0,0,True
candidate_v3,IMG_2026_size16_render00.jpg,IMG_2026.jpg,train,16,True,0.009162619757273841,16,16,0,0,True
candidate_v3,IMG_2026_size16_render01.jpg,IMG_2026.jpg,train,16,True,0.011163230926271469,16,16,0,0,True
candidate_v3,IMG_2026_size16_render02.jpg,IMG_2026.jpg,train,16,True,0.02377086215549045,16,16,0,0,True
candidate_v3,IMG_2027_size30_render00.jpg,IMG_2027.jpg,train,30,True,0.01805921584840805,30,30,0,0,True
candidate_v3,IMG_2027_size30_render01.jpg,IMG_2027.jpg,train,30,True,0.01615683843219091,30,30,0,0,True
candidate_v3,IMG_2027_size30_render02.jpg,IMG_2027.jpg,train,30,True,0.024725323631649927,30,27,0,6,False
