relative_path,size_bytes,sha256
annotations/trays/IMG_1968.json,632,c75cb93fd4ab74811375f6f32edbebed9c0af0587725bd57a8dcc98cd136ffbe
annotations/trays/IMG_1969.json,632,5f14e7fdc6f45a1237a38a1305aafe1c4c9135a837cdae7be619fa1f542fc1bc
annotations/trays/IMG_1970.json,628,465155d12fb338e805d5a751b8ea6ad41aff6b9c3a3d484cd60db37228a5a0b4
annotations/trays/IMG_1971.json,628,36d28ed482ab3fe2c6ca4f0f15a2e581f6a82294f1682abb7603a4a623277e22
annotations/trays/IMG_1972.json,624,624f7fe113d01c7368debee12035e334e808466fff584fd02a84ed69ad04d4b4
annotations/trays/IMG_1973.json,627,27fba4ff1d2c955f479e277ab37ae812c22adf35cf29f0c07d855e82245a13b7
annotations/trays/IMG_1974.json,630,d9aa7481c0f93723d90e49c31b79536fabe33bc01c791487fa697d6b9abaf47d
annotations/trays/IMG_1975.json,573,eccbf6f7131fedada9fc6971cd27384cca37de97c18f0f413e27f2716278e456
annotations/trays/IMG_1976.json,573,58943bcbf211e689995162d293a367622c5f95f95939d5b2ba05aaec8b926f8a
annotations/trays/IMG_1977.json,569,ed93e3b2dea5cafe30842fd864bc03ff3f2576176c6cf95fc838a811ecc69e04
annotations/trays/IMG_1978.json,571,558f0e7d52d035e9bd1bf8dc09ccadc9f704ad36e4291d796a1d763b637b355a
annotations/trays/IMG_1979.json,572,954927931ff6864252791b7e3e281580a4f6a8ed9c05aef08de614db3d3845b9
annotations/trays/IMG_1980.json,571,ec8a500c556d0209615c3767ea52e173acdc4517a558c342f188373ef6fb251a
annotations/trays/IMG_1981.json,574,c642faaad679833367ed6c1af1cd3ec14b94ffbff51239ca69f6a7a39e6408d5
annotations/trays/IMG_1982.json,576,0361c3ad4801518a9b6de3a7a8c7536367de61c3d34ca0e1c8316e3b42445224
annotations/trays/IMG_1983.json,575,6d8b3711b3e48dfa2c0e350b69c85b554613db76bec41660d7d6d3828eb618c5
annotations/trays/IMG_1984.json,563,e254ecf6f854109cb1d447d0b9ed6da54ab7531df8a538d8e89ac3853519521a
annotations/trays/IMG_1985.json,563,4464d77d7946e2575531003bdda5cffd08d5316e3d36d35cda40d8966468f7e2
annotations/trays/IMG_1986.json,563,0d00a1cf0cd41a30d189715b88d49c34b5c45380ca7a342c759b5b5bac67e7c8
annotations/trays/IMG_1987.json,576,98241126a66811e044c20c1e4de9e5cc39eb4ad102de3d9334284d7042721fdf
annotations/trays/IMG_1988.json,570,353adb5c65be9d6d18d5c8131220fe2327361591c7059335124378a4f9c80ac5
annotations/trays/IMG_1989.json,572,50ac8d9165af79c37c3041643888839f2f0d6ccbca6e616d85bb436f6c5fce6d
annotations/trays/IMG_1990.json,575,dada7a07c5200bfb4420236e3bfbcb9e65b108676106990b8093deaa0e694f8b
annotations/trays/IMG_1991.json,574,187ce416b3fb219da0b7becdb0972e3e4a12775e86f0dde00d40dbe32b7ae9bf
annotations/trays/IMG_1992.json,576,f8bae71829ce06aa3c64f8c695dc4370b0920cbf771cb876b3770f8de1ae654c
annotations/trays/IMG_1993.json,577,d599e2bca811144c87c707d7114b09ea937108006507a4f9173834f9e0c98cee
annotations/trays/IMG_1994.json,568,6487be5f53abdd8ac583cf95581c1db0790a73384259fa7fecb0b4ee998b8ab9
annotations/trays/IMG_1995.json,570,f8f1432c2ab1ef1af885d565c360d1db879a6fe880eedcfb3e1c06bad89f2fe6
annotations/trays/IMG_1996.json,561,82ee21c1fd663fbebb30c0c8bb16a0a1d892ce4c4f85a2ff21737b85a615d5be
annotations/trays/IMG_1997.json,576,a5d10245cde8966f7a9c5c3d2bb84513f25c91413d65a2f7e3208afae7852b23
cropped_trays/IMG_1959.jpg,2076485,bbe02e3d83c2f14fa428b436cb44298440751a1043b54b1aafafa20acf4865d4
cropped_trays/IMG_1960.jpg,1629914,c25013d518924fa37f6b68a7f623e93eafee0ebe4354d7859a91a1a3569bf5cf
cropped_trays/IMG_1961.jpg,1572425,ecf705c103e22712d8c7db2d674b7fb9b352d1c6a743eef191b890ad5f135acd
cropped_trays/IMG_1963.jpg,1907857,33aba247421a3c407929e114cb7bd42e56bdd58c50fece1b10676e4558c39312
cropped_trays/IMG_1964.jpg,1712215,54175688c6703d31e932b100077abb23acf084efc2cec4332d70c3d466d819df
cropped_trays/IMG_1965.jpg,2127701,7ca6bbf4366f8f3eab15cc52e2ee0c1c8f533c40748f81f5fa6e18bca2028ec7
